Core: audioblade_system_altera_emif_arch_nf_180_es4upsa - Instance: i0|emif_a10_hps_0
Path, Setup Margin, Hold Margin
"Address/Command (Slow 900mV 100C Model)",0.159,0.159
"Core (Slow 900mV 100C Model)",--,--
"Core Recovery/Removal (Slow 900mV 100C Model)",--,--
"DQS Gating (Slow 900mV 100C Model)",0.529,0.529
"Read Capture (Slow 900mV 100C Model)",0.016,0.016
"Write (Slow 900mV 100C Model)",0.028,0.028
"Write Levelling (Slow 900mV 100C Model)",0.122,0.122
"Address/Command (Slow 900mV -40C Model)",0.159,0.159
"Core (Slow 900mV -40C Model)",--,--
"Core Recovery/Removal (Slow 900mV -40C Model)",--,--
"DQS Gating (Slow 900mV -40C Model)",0.529,0.529
"Read Capture (Slow 900mV -40C Model)",0.016,0.016
"Write (Slow 900mV -40C Model)",0.028,0.028
"Write Levelling (Slow 900mV -40C Model)",0.122,0.122
"Address/Command (Fast 900mV 100C Model)",0.159,0.159
"Core (Fast 900mV 100C Model)",--,--
"Core Recovery/Removal (Fast 900mV 100C Model)",--,--
"DQS Gating (Fast 900mV 100C Model)",0.529,0.529
"Read Capture (Fast 900mV 100C Model)",0.016,0.016
"Write (Fast 900mV 100C Model)",0.028,0.028
"Write Levelling (Fast 900mV 100C Model)",0.122,0.122
"Address/Command (Fast 900mV -40C Model)",0.159,0.159
"Core (Fast 900mV -40C Model)",--,--
"Core Recovery/Removal (Fast 900mV -40C Model)",--,--
"DQS Gating (Fast 900mV -40C Model)",0.529,0.529
"Read Capture (Fast 900mV -40C Model)",0.016,0.016
"Write (Fast 900mV -40C Model)",0.028,0.028
"Write Levelling (Fast 900mV -40C Model)",0.122,0.122
